"start_station_name","count"
NULL,"549372"
"Clinton St & Washington Blvd","26200"
"Kingsbury St & Kinzie St","26157"
"Clark St & Elm St","24991"
"Wells St & Concord Ln","21412"
"Clinton St & Madison St","20589"
"Wells St & Elm St","20385"
"University Ave & 57th St","20029"
"Broadway & Barry Ave","18952"
"Loomis St & Lexington St","18894"
