"start_station_name","count"
NULL,"875317"
"Streeter Dr & Grand Ave","63026"
"DuSable Lake Shore Dr & Monroe St","40142"
"Michigan Ave & Oak St","37308"
"DuSable Lake Shore Dr & North Blvd","35903"
"Clark St & Elm St","35776"
"Kingsbury St & Kinzie St","34931"
"Wells St & Concord Ln","33563"
"Clinton St & Washington Blvd","32681"
"Wells St & Elm St","30370"
