"start_station_name","lat","lng","total_trips"
"Fairbanks Ct & Grand Ave","41.8918726626369646","-87.6206060941189997","17395"
"Sheffield Ave & Wellington Ave","41.9362701151808148","-87.6526626688875191","17034"
"Adler Planetarium","41.8661077932506512","-87.6072941948271371","16892"
"State St & Randolph St","41.8846205911092656","-87.6278956774338593","16858"
"Franklin St & Jackson Blvd","41.8777323271186743","-87.6352934533873842","16836"
"Pine Grove Ave & Irving Park Rd","41.9543744327589099","-87.6480529332686433","16695"
"Clark St & Wellington Ave","41.9364962439989168","-87.6475670987356322","16617"
"Broadway & Belmont Ave","41.9400898523499547","-87.6454740834572378","16545"
"Kimbark Ave & 53rd St","41.7995661690841144","-87.5947410504018869","16323"
"Racine Ave & Fullerton Ave","41.9255878537433911","-87.6584551564404279","16266"
"Stockton Dr & Wrightwood Ave","41.9313138626543516","-87.6387339657717580","16132"
"Franklin St & Lake St","41.8858268623805096","-87.6354919354795115","16131"
"Franklin St & Monroe St","41.8802137908815839","-87.6353858703667040","16062"
"Clark St & Lake St","41.8859882735440195","-87.6309475681780745","16027"
"Broadway & Sheridan Rd","41.9527712288540756","-87.6500130238896517","16022"
"Milwaukee Ave & Grand Ave","41.8915864934759525","-87.6483357129406621","16010"
"Rush St & Cedar St","41.9023369658488554","-87.6277470146233929","15945"
"LaSalle St & Jackson Blvd","41.8781073905574560","-87.6318586018269353","15786"
"Clark St & Winnemac Ave","41.9733352178642930","-87.6678402478376837","15784"
"MLK Jr Dr & 29th St","41.8420594692561983","-87.6169739281748252","15730"
"Canal St & Monroe St","41.8816879121925304","-87.6395018678310110","15717"
"Halsted St & Dickens Ave","41.9199594033570929","-87.6488499174556100","15713"
"Sheridan Rd & Montrose Ave","41.9616181569947849","-87.6546386254002608","15340"
"State St & Kinzie St","41.8891518812339231","-87.6272002043376640","15317"
"Halsted St & Fulton St","41.8872543598896160","-87.6483654459495010","15129"
"McClurg Ct & Erie St","41.8944945976285790","-87.6179931545579268","15088"
"Clarendon Ave & Gordon Ter","41.9578314477462825","-87.6495030526553372","15064"
"Sedgwick St & Webster Ave","41.9221653306985856","-87.6389257408831928","15059"
"Aberdeen St & Jackson Blvd","41.8777521678849113","-87.6548064204255604","14945"
"Sedgwick St & North Ave","41.9113632798285791","-87.6386826978960761","14934"
"Rush St & Superior St","41.8957299228513894","-87.6260358712162706","14898"
"Sedgwick St & Huron St","41.8946589973417467","-87.6383774000892797","14897"
