"start_station_name","lat","lng","member_casual","total_trips"
"LaSalle St & Jackson Blvd","41.8781076965655561","-87.6318615067644621","member","12066"
"Canal St & Monroe St","41.8816858847436004","-87.6395047518243976","member","11993"
"Montrose Harbor","41.9639618579061794","-87.6381998669194749","casual","11959"
"Lakeview Ave & Fullerton Pkwy","41.9258716043595543","-87.6389721343972522","member","11937"
"Adler Planetarium","41.8661052908695652","-87.6072877789433771","casual","11868"
"Racine Ave & Fullerton Ave","41.9255843047696591","-87.6584501430475869","member","11852"
"DuSable Lake Shore Dr & Belmont Ave","41.9407562294658102","-87.6391901729634012","member","11831"
"Calumet Ave & 33rd St","41.8348969152869580","-87.6179329716406052","member","11831"
"Sheffield Ave & Waveland Ave","41.9493028317340795","-87.6544856713109472","member","11793"
"Wilton Ave & Diversey Pkwy","41.9323981098749893","-87.6526957999554756","member","11679"
"Indiana Ave & Roosevelt Rd","41.8679156045627572","-87.6230403796647805","casual","11664"
"Franklin St & Lake St","41.8858278663390326","-87.6354978692473580","member","11639"
"New St & Illinois St","41.8908079934188256","-87.6185482771208981","member","11580"
"Kimbark Ave & 53rd St","41.7995663147089526","-87.5947406732714084","member","11304"
"Pine Grove Ave & Irving Park Rd","41.9543667276198494","-87.6480511674559149","member","11285"
"Franklin St & Jackson Blvd","41.8777327858748336","-87.6353007175552597","member","11265"
"May St & Taylor St","41.8694807241131975","-87.6554765761333096","member","11237"
"Wells St & Evergreen Ave","41.9067142998963453","-87.6349661983790546","member","11191"
"Aberdeen St & Jackson Blvd","41.8777545079665738","-87.6548118907574805","member","11129"
"Clark St & Armitage Ave","41.9182930915745831","-87.6363103856872465","casual","11095"
"Sheffield Ave & Wellington Ave","41.9362704304090332","-87.6526648046998005","member","11026"
"Clark St & Lake St","41.8859856952348686","-87.6309466342074902","member","10921"
"Fairbanks Ct & Grand Ave","41.8918703376051691","-87.6206062845816149","member","10911"
"Clark St & Lincoln Ave","41.9157028819418101","-87.6346076991925237","casual","10861"
"Broadway & Sheridan Rd","41.9527596625257827","-87.6500046479760589","member","10860"
"Sedgwick St & Huron St","41.8946637544808189","-87.6383688906851715","member","10844"
"Michigan Ave & 8th St","41.8727070282486397","-87.6239932928746657","casual","10843"
"Clark St & Elm St","41.9028882045257302","-87.6314241933602225","casual","10785"
"Sheridan Rd & Montrose Ave","41.9616251388905436","-87.6546409995225242","member","10744"
"Clark St & Wellington Ave","41.9364966930461969","-87.6475690005216986","member","10715"
"Clarendon Ave & Gordon Ter","41.9578277655928244","-87.6495068163813884","member","10703"
"Broadway & Belmont Ave","41.9400849370595383","-87.6454739820114029","member","10699"
"Sheffield Ave & Wrightwood Ave","41.9286981640239081","-87.6538445041302711","member","10624"
"Wilton Ave & Belmont Ave","41.9401459364404067","-87.6529714551026172","casual","10622"
"Rush St & Cedar St","41.9023340371098266","-87.6277490058987966","member","10553"
"State St & Randolph St","41.8846232022284466","-87.6278968775579187","member","10532"
"Desplaines St & Jackson Blvd","41.8781278574686431","-87.6440294007915241","member","10524"
"McClurg Ct & Erie St","41.8944889566669846","-87.6179939262157779","member","10483"
"Canal St & Jackson Blvd","41.8772877770791036","-87.6394207164432101","member","10442"
"Milwaukee Ave & Grand Ave","41.8915736339863566","-87.6483418809540738","member","10408"
"Clark St & Winnemac Ave","41.9733242542140078","-87.6678404566750973","member","10280"
"Rush St & Superior St","41.8957286674637187","-87.6260411411444434","member","10267"
"Franklin St & Chicago Ave","41.8967620851438356","-87.6357041304178082","member","10220"
"DuSable Lake Shore Dr & Wellington Ave","41.9366847770188419","-87.6368270372555983","member","10137"
"State St & Kinzie St","41.8891555854158855","-87.6272026147261963","member","10135"
"Halsted St & Dickens Ave","41.9199600532893824","-87.6488489199097849","member","10087"
"Sheffield Ave & Kingsbury St","41.9105485589211206","-87.6531599862030598","member","10066"
"Clark St & Randolph St","41.8845878367396933","-87.6318103454859590","member","10042"
"Sedgwick St & Webster Ave","41.9221667041467560","-87.6389210697350795","member","10003"
"Stockton Dr & Wrightwood Ave","41.9313119286281372","-87.6387367622707729","member","10001"
"Wells St & Elm St","41.9031614512709064","-87.6344473837656485","casual","9985"
"Millennium Park","41.8810932685934664","-87.6241334992377495","member","9918"
"DuSable Lake Shore Dr & Monroe St","41.8809747418989280","-87.6167504994977029","member","9795"
"Halsted St & Fulton St","41.8872653606920947","-87.6483690169752897","member","9753"
"Wabash Ave & Grand Ave","41.8914444797933374","-87.6267598403547193","casual","9726"
